ID;Knoten;Art;Jahr von;Jahr bis
391;Ablehnung Teufelspakt;Motiv_cod;1568;1586
392;Anrufung Gott;Motiv_cod;1583;1586
393;Anrufung Spruch;Motiv_cod;1584;1584
394;Anrufung Teufel;Motiv_cod;1568;1586
395;Anzahl Blocksbergbesuche;Motiv_cod;1569;1586
396;Armee verschaffen;Motiv_cod;1586;1586
397;Armut verursachen;Motiv_cod;1543;1584
398;auf Bock;Motiv_cod;1577;1584
399;auf Teufel;Motiv_cod;1576;1584
400;auf Tier;Motiv_cod;1584;1586
401;Baden auf Blocksberg;Motiv_cod;1584;1584
402;Bekehrung Gott;Motiv_cod;1584;1584
403;Bezahlung;Motiv_cod;1543;1584
404;Bier trinken;Motiv_cod;1569;1586
405;Blindheit, Anblasen;Motiv_cod;1576;1586
406;Bötesprüche;Motiv_cod;1576;1586
407;Brauzauber;Motiv_cod;1545;1584
408;Brunnenvergiftung;Motiv_cod;1584;1584
409;Buhlschaft;Motiv_cod;1577;1586
410;Buhlschaft mehrere Teufel;Motiv_cod;1584;1584
411;Dauer;Motiv_cod;1569;1586
412;Diebe ermitteln;Motiv_cod;1543;1584
413;Diebstahl;Motiv_cod;1568;1586
414;Dienstleistung;Motiv_cod;1568;1584
415;dunkel;Motiv_cod;1568;1568
416;Essen allgemeine;Motiv_cod;1568;1576
417;Fallen der Hexen;Motiv_cod;1568;1586
418;Fallen durch Gewalt;Motiv_cod;1568;1586
419;Fische, Nahrung zurückholen;Motiv_cod;1569;1584
420;Fleisch essen;Motiv_cod;1569;1586
421;Freischießen;Motiv_cod;1586;1586
422;Fruchtbarkeit;Motiv_cod;1584;1586
423;Gericht böten;Motiv_cod;1576;1576
424;Gericht schädigen;Motiv_cod;1584;1584
425;Geschirr;Motiv_cod;1584;1584
426;Gewalt;Motiv_cod;1568;1586
427;Gewalt gegen Teufel;Motiv_cod;1568;1586
428;Göth gießen;Motiv_cod;1545;1584
429;Göth, eingraben;Motiv_cod;1545;1582
430;Göthen, allgemein und Kräuter;Motiv_cod;1568;1584
431;Göthen, anderer Ort;Motiv_cod;1584;1584
432;Göthen, Gift;Motiv_cod;1584;1584
433;Göthen, Leichenteile, Verbrecherische Mittel;Motiv_cod;1570;1584
434;Göthen, Steine, Erde, Nadeln, Objekte;Motiv_cod;1584;1584
435;Göthen, Teufelsdreck, Teufelsteile;Motiv_cod;1570;1584
436;Göthen, Tore und Wege;Motiv_cod;1543;1586
437;Göthen, Ungeziefer;Motiv_cod;1560;1586
438;Göthen, Zaubersprüche;Motiv_cod;1568;1568
439;Göthen: Urin, Nägel, Haare;Motiv_cod;1543;1586
440;Grasbänke;Motiv_cod;1576;1584
441;Hals zerbrechen;Motiv_cod;1568;1586
442;Hals ziehen;Motiv_cod;1582;1586
443;Hausschädigung;Motiv_cod;1543;1577
444;Hexen ermitteln;Motiv_cod;1556;1586
445;Hexensabbat;Motiv_cod;1568;1586
446;Holzbänke;Motiv_cod;1584;1586
447;Hostienmissbrauch;Motiv_cod;1586;1586
448;Hurerei verursachen;Motiv_cod;1586;1586
449;immer Gewinnen;Motiv_cod;1586;1586
450;Impotenz, Sterilität;Motiv_cod;1569;1586
451;Kristallkugel;Motiv_cod;1570;1586
452;Lahm machen, stürzen;Motiv_cod;1569;1586
453;Licht anfertigen;Motiv_cod;1582;1586
454;Liebeszauber, allgemein;Motiv_cod;1543;1584
455;Lösezauber;Motiv_cod;1582;1584
456;mehrere Teufel;Motiv_cod;1543;1584
457;Menschen bedrohen;Motiv_cod;1543;1584
458;Menschen helfen;Motiv_cod;1543;1586
459;Menschen töten;Motiv_cod;1569;1586
460;Menschen wiederfinden;Motiv_cod;1569;1584
461;Menschenschädigung allgemein;Motiv_cod;1543;1586
462;Milchzauber;Motiv_cod;1569;1584
463;mit Objekt;Motiv_cod;1568;1586
464;Musiker;Motiv_cod;1569;1584
465;Musikinstrumente;Motiv_cod;1569;1584
466;Obstbäume, Wiesen auf Blocksberg;Motiv_cod;1583;1586
467;Pendeln mit Brot;Motiv_cod;1543;1584
468;Planeten und Horoskope lesen;Motiv_cod;1584;1584
469;Produktschädigung allgemein;Motiv_cod;1569;1576
470;reich werden;Motiv_cod;1570;1586
471;Ritual;Motiv_cod;1586;1586
472;Sakrament in Begleitung Teufel;Motiv_cod;1584;1586
473;Sakrament in Teufelsnamen;Motiv_cod;1584;1586
474;Sakrament zur Tarnung;Motiv_cod;1576;1584
475;Sakramentbesuch;Motiv_cod;1584;1586
476;Sakramentbesuch-Gewalt;Motiv_cod;1568;1584
477;Sakramentverbot durch Teufel;Motiv_cod;1568;1586
478;Salbe;Motiv_cod;1570;1586
479;Schädigung Korn, Ernte;Motiv_cod;1543;1576
480;Schatzgraben;Motiv_cod;1570;1584
481;Schutz, Hilfe ablehnen;Motiv_cod;1543;1586
482;Schutzbriefe;Motiv_cod;1568;1584
483;Sieblaufen;Motiv_cod;1584;1584
484;Spruch;Motiv_cod;1568;1586
485;Streit mit Teufel;Motiv_cod;1568;1577
486;Tanz;Motiv_cod;1584;1586
487;Tanz auf Hof;Motiv_cod;1570;1570
488;Tanz hinten;Motiv_cod;1569;1586
489;Tanz mit Person, Teufel;Motiv_cod;1570;1586
490;Tanz Mitte;Motiv_cod;1583;1584
491;Tanz vorn;Motiv_cod;1584;1584
492;Teufel baden;Motiv_cod;1576;1586
493;Teufel bannen;Motiv_cod;1543;1584
494;Teufel kalt;Motiv_cod;1569;1586
495;Teufel musizieren;Motiv_cod;1583;1586
496;Teufel schädigt Menschen;Motiv_cod;1568;1586
497;Teufel tötet Menschen;Motiv_cod;1584;1584
498;Teufel tötet Tiere;Motiv_cod;1569;1584
499;Teufel_Klauen;Motiv_cod;1584;1586
500;Teufel-Bär;Motiv_cod;1576;1576
501;Teufel-Fuß;Motiv_cod;1584;1584
502;Teufel-grün;Motiv_cod;1577;1577
503;Teufel-Hund;Motiv_cod;1576;1586
504;Teufel-Jüngling;Motiv_cod;1560;1584
505;Teufel-Katze;Motiv_cod;1577;1584
506;Teufel-Kerl;Motiv_cod;1584;1584
507;Teufel-Kind;Motiv_cod;1582;1586
508;Teufel-Mensch;Motiv_cod;1569;1586
509;Teufel-rot;Motiv_cod;1583;1583
510;Teufel-schwarz;Motiv_cod;1570;1586
511;Teufelsfrüchte;Motiv_cod;1577;1577
512;Teufelsheirat;Motiv_cod;1568;1568
513;Teufelskraut Anrufung;Motiv_cod;1584;1584
514;Teufelsname;Motiv_cod;1584;1586
515;Teufelsname, Esoterik;Motiv_cod;1543;1586
516;Teufelsname, Homonyme Satan;Motiv_cod;1543;1586
517;Teufelsname, Mensch;Motiv_cod;1560;1586
518;Teufelspakt;Motiv_cod;1570;1586
519;Teufel-warm;Motiv_cod;1584;1584
520;Teufel-Ziegenbock;Motiv_cod;1582;1584
521;Tiere heilen;Motiv_cod;1574;1586
522;Tiere schädigen;Motiv_cod;1543;1586
523;Tiere töten;Motiv_cod;1569;1586
524;Tiere wiederfinden;Motiv_cod;1543;1584
525;Tische und Bänke;Motiv_cod;1577;1586
526;Trank;Motiv_cod;1584;1584
527;Treffen Menschen;Motiv_cod;1568;1584
528;Treffen Teufel;Motiv_cod;1583;1584
529;Trinken, verschiedene Getränke;Motiv_cod;1568;1584
530;Umfang;Motiv_cod;1570;1584
531;Unsichtbarkeit;Motiv_cod;1586;1586
532;verfremdete Körperteile;Motiv_cod;1570;1586
533;Vergiften;Motiv_cod;1545;1586
534;Versprechen, Eid;Motiv_cod;1568;1586
535;Wagennarbe, Teufel;Motiv_cod;1584;1584
536;Wahrsagen allgemein;Motiv_cod;1543;1584
537;Wahrsagen mit Tier;Motiv_cod;1586;1586
538;Wahrsagesprüche;Motiv_cod;1569;1586
539;Wasser, Teich auf Blocksberg;Motiv_cod;1577;1586
540;Wetterzauber;Motiv_cod;1584;1584
541;Wiederbenehmen Zauberei;Motiv_cod;1543;1586
542;Wiederfinden verlorene Dinge;Motiv_cod;1543;1586
543;Willen aufzwingen;Motiv_cod;1569;1569
544;Zauberbuch;Motiv_cod;1556;1586
545;Zauberei weitergeben;Motiv_cod;1586;1586
546;Zaubermittel;Motiv_cod;1570;1570
547;Zaubern durch Ritual lernen;Motiv_cod;1570;1584
548;Zaubern gegen Bezahlung lernen;Motiv_cod;1568;1586
549;Zaubern von Geistlichen lernen;Motiv_cod;1584;1584
550;Zaubern von Hexen lernen;Motiv_cod;1543;1586
551;Zauberschutz;Motiv_cod;1570;1570
552;Zusammenführen Liebender;Motiv_cod;1568;1584
553;Zwie- und Mißtracht säen;Motiv_cod;1543;1584
554;Hexenflug;Motiv_typ;1568;1586
555;Buhlschaft;Motiv_typ;1569;1586
556;Sabbat;Motiv_typ;1568;1586
557;Teufelspakt;Motiv_typ;1543;1586
558;Zaubern_lernen;Motiv_typ;1543;1586
559;Teufelsgestalt;Motiv_typ;1543;1586
560;Essen und Trinken;Motiv_typ;1568;1586
561;Musik;Motiv_typ;1569;1586
562;Gestalt_Blocksberg;Motiv_typ;1568;1586
563;Tanz;Motiv_typ;1569;1586
564;Sakrament;Motiv_typ;1568;1586
565;Göthen;Motiv_typ;1543;1586
566;Göthen_Ausführung;Motiv_typ;1545;1584
567;Ge;Motiv_typ;1584;1584
568;Schadenszauber;Motiv_typ;1543;1586
569;Göthen_Zubereitung;Motiv_typ;1543;1586
570;Göthen_Ort;Motiv_typ;1543;1586
571;Liebeszauber;Motiv_typ;1543;1586
572;Tierverwandlung;Motiv_typ;1570;1570
573;Heilen;Motiv_typ;1570;1586
574;Hilfszauber;Motiv_typ;1543;1586
575;Böten;Motiv_typ;1574;1586
576;Schatzgraben;Motiv_typ;1570;1586
577;Freischießen;Motiv_typ;1570;1586
578;zaubern lernen;Motiv_typ;1586;1586
579;Gemeinschaft;Motiv_typ;1543;1586
580;zaubern lernen;Motiv_typ;1584;1586
581;Hexenflug;Motiv_kat;;
582;Buhlschaft;Motiv_kat;;
583;Sabbat;Motiv_kat;;
584;Teufelspakt;Motiv_kat;;
585;Gemeinschaft;Motiv_kat;;
586;Teufelsgestalt;Motiv_kat;;
587;Sakrament;Motiv_kat;;
588;Göthen;Motiv_kat;;
589;Schadenszauber;Motiv_kat;;
590;Liebeszauber;Motiv_kat;;
591;Tierverwandlung;Motiv_kat;;
592;Heilen;Motiv_kat;;
593;Hilfszauber;Motiv_kat;;
594;Böten;Motiv_kat;;
595;Schatzgraben;Motiv_kat;;
596;Freischießen;Motiv_kat;;
597;zaubern lernen;Motiv_kat;;
